district,year,crime_against_children,crime_against_women,cyber_crime,other_crime,violent_crime,total_crime,variety,wc_ratio,trend,lag_1_count,lag_2_count,lag_3_count,rolling_mean_3,lag_1_women,lag_1_children,yoy_women,is_odd_year
11,2020,230,98,12,63,1,404,4,0.8118811881188119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,2021,65,124,0,0,0,189,2,1.0,-0.532178,404.0,0.0,0.0,0.0,98.0,230.0,0.2653,1
11,2022,460,139,24,126,2,751,4,0.7976031957390146,2.973545,189.0,404.0,0.0,448.0,124.0,65.0,0.121,0
11,2023,130,248,0,0,0,378,2,1.0,-0.496671,751.0,189.0,404.0,439.3333333333333,139.0,460.0,0.7842,1
12,2020,560,441,3,4,1,1009,4,0.99207135777998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,2021,94,480,0,0,0,574,2,1.0,-0.43112,1009.0,0.0,0.0,0.0,441.0,560.0,0.0884,1
12,2022,1120,560,6,8,2,1696,4,0.9905660377358492,1.954704,574.0,1009.0,0.0,1093.0,480.0,94.0,0.1667,0
12,2023,188,960,0,0,0,1148,2,1.0,-0.323113,1696.0,574.0,1009.0,1139.3333333333333,560.0,1120.0,0.7143,1
13,2020,94,85,1,17,0,197,3,0.9086294416243654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,2021,33,100,0,0,0,133,2,1.0,-0.324873,197.0,0.0,0.0,0.0,85.0,94.0,0.1765,1
13,2022,188,112,2,34,0,336,3,0.8928571428571429,1.526316,133.0,197.0,0.0,222.0,100.0,33.0,0.12,0
13,2023,66,200,0,0,0,266,2,1.0,-0.208333,336.0,133.0,197.0,245.0,112.0,188.0,0.7857,1
14,2020,150,87,3,5,1,246,4,0.9634146341463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2021,34,103,0,0,0,137,2,1.0,-0.443089,246.0,0.0,0.0,0.0,87.0,150.0,0.1839,1
14,2022,300,132,6,10,2,450,4,0.96,2.284672,137.0,246.0,0.0,277.6666666666667,103.0,34.0,0.2816,0
14,2023,68,206,0,0,0,274,2,1.0,-0.391111,450.0,137.0,246.0,287.0,132.0,300.0,0.5606,1
15,2020,455,450,4,18,0,927,3,0.976267529665588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,2021,152,498,0,0,0,650,2,1.0,-0.298813,927.0,0.0,0.0,0.0,450.0,455.0,0.1067,1
15,2022,910,641,8,36,0,1595,3,0.9724137931034482,1.453846,650.0,927.0,0.0,1057.3333333333333,498.0,152.0,0.2871,0
15,2023,304,996,0,0,0,1300,2,1.0,-0.184953,1595.0,650.0,927.0,1181.6666666666667,641.0,910.0,0.5538,1
16,2020,223,206,0,1,0,430,2,0.9976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,2021,78,260,0,0,0,338,2,1.0,-0.213953,430.0,0.0,0.0,0.0,206.0,223.0,0.2621,1
16,2022,446,312,0,2,0,760,2,0.9973684210526316,1.248521,338.0,430.0,0.0,509.3333333333333,260.0,78.0,0.2,0
16,2023,156,520,0,0,0,676,2,1.0,-0.110526,760.0,338.0,430.0,591.3333333333334,312.0,446.0,0.6667,1
17,2020,145,148,10,0,0,303,2,0.966996699669967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,2021,39,178,0,0,0,217,2,1.0,-0.283828,303.0,0.0,0.0,0.0,148.0,145.0,0.2027,1
17,2022,290,217,20,0,0,527,2,0.9620493358633776,1.428571,217.0,303.0,0.0,349.0,178.0,39.0,0.2191,0
17,2023,78,356,0,0,0,434,2,1.0,-0.176471,527.0,217.0,303.0,392.6666666666667,217.0,290.0,0.6406,1
18,2020,81,83,8,0,1,173,3,0.9479768786127168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,2021,30,90,0,0,0,120,2,1.0,-0.306358,173.0,0.0,0.0,0.0,83.0,81.0,0.0843,1
18,2022,162,113,16,0,2,293,3,0.938566552901024,1.441667,120.0,173.0,0.0,195.33333333333334,90.0,30.0,0.2556,0
18,2023,60,180,0,0,0,240,2,1.0,-0.180887,293.0,120.0,173.0,217.66666666666666,113.0,162.0,0.5929,1
19,2020,12,6,0,0,0,18,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19,2021,2,7,0,0,0,9,2,1.0,-0.5,18.0,0.0,0.0,0.0,6.0,12.0,0.1667,1
19,2022,24,9,0,0,0,33,1,1.0,2.666667,9.0,18.0,0.0,20.0,7.0,2.0,0.2857,0
19,2023,4,14,0,0,0,18,2,1.0,-0.454545,33.0,9.0,18.0,20.0,9.0,24.0,0.5556,1
20,2020,215,255,6,21,11,508,5,0.9251968503937008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20,2021,56,278,0,0,0,334,2,1.0,-0.34252,508.0,0.0,0.0,0.0,255.0,215.0,0.0902,1
20,2022,430,342,12,42,22,848,5,0.910377358490566,1.538922,334.0,508.0,0.0,563.3333333333334,278.0,56.0,0.2302,0
20,2023,112,556,0,0,0,668,2,1.0,-0.212264,848.0,334.0,508.0,616.6666666666666,342.0,430.0,0.6257,1
21,2020,179,147,4,8,3,341,4,0.9560117302052786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,2021,22,164,0,0,0,186,2,1.0,-0.454545,341.0,0.0,0.0,0.0,147.0,179.0,0.1156,1
21,2022,358,197,8,16,6,585,4,0.9487179487179488,2.145161,186.0,341.0,0.0,370.6666666666667,164.0,22.0,0.2012,0
21,2023,44,328,0,0,0,372,2,1.0,-0.364103,585.0,186.0,341.0,381.0,197.0,358.0,0.665,1
22,2020,202,104,1,18,7,332,4,0.9216867469879518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,2021,66,120,0,0,0,186,2,1.0,-0.439759,332.0,0.0,0.0,0.0,104.0,202.0,0.1538,1
22,2022,404,145,2,36,14,601,4,0.913477537437604,2.231183,186.0,332.0,0.0,373.0,120.0,66.0,0.2083,0
22,2023,132,240,0,0,0,372,2,1.0,-0.381032,601.0,186.0,332.0,386.3333333333333,145.0,404.0,0.6552,1
23,2020,207,240,3,8,3,461,4,0.9696312364425164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
23,2021,69,264,0,0,0,333,2,1.0,-0.277657,461.0,0.0,0.0,0.0,240.0,207.0,0.1,1
23,2022,414,326,6,16,6,768,4,0.9635416666666666,1.306306,333.0,461.0,0.0,520.6666666666666,264.0,69.0,0.2348,0
23,2023,138,528,0,0,0,666,2,1.0,-0.132812,768.0,333.0,461.0,589.0,326.0,414.0,0.6196,1
24,2020,190,206,4,28,1,429,4,0.9230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,2021,72,258,0,0,0,330,2,1.0,-0.230769,429.0,0.0,0.0,0.0,206.0,190.0,0.2524,1
24,2022,380,297,8,56,2,743,4,0.911170928667564,1.251515,330.0,429.0,0.0,500.6666666666667,258.0,72.0,0.1512,0
24,2023,144,516,0,0,0,660,2,1.0,-0.111709,743.0,330.0,429.0,577.6666666666666,297.0,380.0,0.7374,1
25,2020,441,433,0,41,10,925,3,0.9448648648648648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,2021,99,511,0,0,0,610,2,1.0,-0.340541,925.0,0.0,0.0,0.0,433.0,441.0,0.1801,1
25,2022,882,635,0,82,20,1619,3,0.9369981470043236,1.654098,610.0,925.0,0.0,1051.3333333333333,511.0,99.0,0.2427,0
25,2023,198,1022,0,0,0,1220,2,1.0,-0.246448,1619.0,610.0,925.0,1149.6666666666667,635.0,882.0,0.6094,1
26,2020,198,162,22,36,1,419,4,0.8591885441527446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,2021,67,170,0,0,0,237,2,1.0,-0.434368,419.0,0.0,0.0,0.0,162.0,198.0,0.0494,1
26,2022,396,216,44,72,2,730,4,0.8383561643835616,2.080169,237.0,419.0,0.0,462.0,170.0,67.0,0.2706,0
26,2023,134,340,0,0,0,474,2,1.0,-0.350685,730.0,237.0,419.0,480.3333333333333,216.0,396.0,0.5741,1
27,2020,267,269,5,0,2,543,3,0.9871086556169428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,2021,54,321,0,0,0,375,2,1.0,-0.309392,543.0,0.0,0.0,0.0,269.0,267.0,0.1933,1
27,2022,534,417,10,0,4,965,3,0.9854922279792746,1.573333,375.0,543.0,0.0,627.6666666666666,321.0,54.0,0.2991,0
27,2023,108,642,0,0,0,750,2,1.0,-0.222798,965.0,375.0,543.0,696.6666666666666,417.0,534.0,0.5396,1
28,2020,529,429,7,64,4,1033,4,0.9273959341723136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,2021,135,461,0,0,0,596,2,1.0,-0.42304,1033.0,0.0,0.0,0.0,429.0,529.0,0.0746,1
28,2022,1058,568,14,128,8,1776,4,0.9155405405405406,1.979866,596.0,1033.0,0.0,1135.0,461.0,135.0,0.2321,0
28,2023,270,922,0,0,0,1192,2,1.0,-0.328829,1776.0,596.0,1033.0,1188.0,568.0,1058.0,0.6232,1
29,2020,182,426,6,36,3,653,4,0.9310872894333844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,2021,52,463,0,0,0,515,2,1.0,-0.211332,653.0,0.0,0.0,0.0,426.0,182.0,0.0869,1
29,2022,364,529,12,72,6,983,4,0.9084435401831128,0.908738,515.0,653.0,0.0,717.0,463.0,52.0,0.1425,0
29,2023,104,926,0,0,0,1030,2,1.0,0.047813,983.0,515.0,653.0,842.6666666666666,529.0,364.0,0.7505,1
30,2020,441,489,5,1,2,938,4,0.9914712153518124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30,2021,92,513,0,0,0,605,2,1.0,-0.355011,938.0,0.0,0.0,0.0,489.0,441.0,0.0491,1
30,2022,882,602,10,2,4,1500,4,0.9893333333333332,1.479339,605.0,938.0,0.0,1014.3333333333334,513.0,92.0,0.1735,0
30,2023,184,1026,0,0,0,1210,2,1.0,-0.193333,1500.0,605.0,938.0,1105.0,602.0,882.0,0.7043,1
31,2020,744,558,5,28,2,1337,4,0.9738219895287958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31,2021,182,634,0,0,0,816,2,1.0,-0.389678,1337.0,0.0,0.0,0.0,558.0,744.0,0.1362,1
31,2022,1488,711,10,56,4,2269,4,0.9691494050242396,1.780637,816.0,1337.0,0.0,1474.0,634.0,182.0,0.1215,0
31,2023,364,1268,0,0,0,1632,2,1.0,-0.28074,2269.0,816.0,1337.0,1572.3333333333333,711.0,1488.0,0.7834,1
32,2020,546,544,9,164,52,1315,4,0.8288973384030418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,2021,102,610,0,0,0,712,2,1.0,-0.458555,1315.0,0.0,0.0,0.0,544.0,546.0,0.1213,1
32,2022,1092,782,18,328,104,2324,4,0.806368330464716,2.264045,712.0,1315.0,0.0,1450.3333333333333,610.0,102.0,0.282,0
32,2023,204,1220,0,0,0,1424,2,1.0,-0.387263,2324.0,712.0,1315.0,1486.6666666666667,782.0,1092.0,0.5601,1
33,2020,256,129,10,1,3,399,4,0.9649122807017544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,2021,66,165,0,0,0,231,2,1.0,-0.421053,399.0,0.0,0.0,0.0,129.0,256.0,0.2791,1
33,2022,512,203,20,2,6,743,4,0.962314939434724,2.21645,231.0,399.0,0.0,457.6666666666667,165.0,66.0,0.2303,0
33,2023,132,330,0,0,0,462,2,1.0,-0.378197,743.0,231.0,399.0,478.6666666666667,203.0,512.0,0.6256,1
34,2020,263,226,2,86,4,581,4,0.8416523235800344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,2021,64,270,0,0,0,334,2,1.0,-0.425129,581.0,0.0,0.0,0.0,226.0,263.0,0.1947,1
34,2022,526,342,4,172,8,1052,4,0.8250950570342205,2.149701,334.0,581.0,0.0,655.6666666666666,270.0,64.0,0.2667,0
34,2023,128,540,0,0,0,668,2,1.0,-0.365019,1052.0,334.0,581.0,684.6666666666666,342.0,526.0,0.5789,1
35,2020,213,154,0,1,0,368,2,0.9972826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35,2021,62,195,0,0,0,257,2,1.0,-0.30163,368.0,0.0,0.0,0.0,154.0,213.0,0.2662,1
35,2022,426,264,0,2,0,692,2,0.9971098265895952,1.692607,257.0,368.0,0.0,439.0,195.0,62.0,0.3538,0
35,2023,124,390,0,0,0,514,2,1.0,-0.257225,692.0,257.0,368.0,487.6666666666667,264.0,426.0,0.4773,1
36,2020,193,298,9,4,3,507,4,0.9684418145956608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,2021,57,347,0,0,0,404,2,1.0,-0.203156,507.0,0.0,0.0,0.0,298.0,193.0,0.1644,1
36,2022,386,419,18,8,6,837,4,0.961768219832736,1.071782,404.0,507.0,0.0,582.6666666666666,347.0,57.0,0.2075,0
36,2023,114,694,0,0,0,808,2,1.0,-0.034648,837.0,404.0,507.0,683.0,419.0,386.0,0.6563,1
37,2020,140,153,2,9,1,305,4,0.960655737704918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
37,2021,46,187,0,0,0,233,2,1.0,-0.236066,305.0,0.0,0.0,0.0,153.0,140.0,0.2222,1
37,2022,280,244,4,18,2,548,4,0.9562043795620438,1.351931,233.0,305.0,0.0,362.0,187.0,46.0,0.3048,0
37,2023,92,374,0,0,0,466,2,1.0,-0.149635,548.0,233.0,305.0,415.6666666666667,244.0,280.0,0.5328,1
