district,year,crime_against_children,crime_against_women,cyber_crime,other_crime,violent_crime,total_crime,variety,wc_ratio,trend
18,2022,162,0,16,0,2,180,3,0.9,0.5
18,2023,60,180,0,0,0,240,2,1.0,0.33333333333333326
19,2020,12,0,0,0,0,12,1,1.0,0.0
19,2021,2,7,0,0,0,9,2,1.0,-0.25
19,2022,24,0,0,0,0,24,1,1.0,1.6666666666666665
19,2023,4,14,0,0,0,18,2,1.0,-0.25
20,2020,215,1,6,21,11,254,5,0.8503937007874016,0.0
20,2021,56,278,0,0,0,334,2,1.0,0.31496062992125995
20,2022,430,2,12,42,22,508,5,0.8503937007874016,0.5209580838323353
20,2023,112,556,0,0,0,668,2,1.0,0.31496062992125995
21,2020,179,0,4,8,3,194,4,0.9226804123711341,0.0
21,2021,22,164,0,0,0,186,2,1.0,-0.04123711340206182
21,2022,358,0,8,16,6,388,4,0.9226804123711341,1.086021505376344
21,2023,44,328,0,0,0,372,2,1.0,-0.04123711340206182
22,2020,202,0,1,18,7,228,4,0.8859649122807017,0.0
22,2021,66,120,0,0,0,186,2,1.0,-0.1842105263157895
22,2022,404,0,2,36,14,456,4,0.8859649122807017,1.4516129032258065
22,2023,132,240,0,0,0,372,2,1.0,-0.1842105263157895
23,2020,207,0,3,8,3,221,4,0.9366515837104072,0.0
23,2021,69,264,0,0,0,333,2,1.0,0.5067873303167421
23,2022,414,0,6,16,6,442,4,0.9366515837104072,0.3273273273273274
23,2023,138,528,0,0,0,666,2,1.0,0.5067873303167421
24,2020,190,0,4,28,1,223,4,0.852017937219731,0.0
24,2021,72,258,0,0,0,330,2,1.0,0.47982062780269064
24,2022,380,0,8,56,2,446,4,0.852017937219731,0.35151515151515156
24,2023,144,516,0,0,0,660,2,1.0,0.47982062780269064
25,2020,441,0,0,41,10,492,3,0.8963414634146342,0.0
25,2021,99,511,0,0,0,610,2,1.0,0.23983739837398366
25,2022,882,0,0,82,20,984,3,0.8963414634146342,0.6131147540983606
25,2023,198,1022,0,0,0,1220,2,1.0,0.23983739837398366
26,2020,198,0,22,36,1,257,4,0.7704280155642024,0.0
26,2021,67,170,0,0,0,237,2,1.0,-0.0778210116731517
26,2022,396,0,44,72,2,514,4,0.7704280155642024,1.168776371308017
26,2023,134,340,0,0,0,474,2,1.0,-0.0778210116731517
27,2020,267,0,5,0,2,274,3,0.9744525547445255,0.0
27,2021,54,321,0,0,0,375,2,1.0,0.3686131386861313
27,2022,534,0,10,0,4,548,3,0.9744525547445255,0.4613333333333334
27,2023,108,642,0,0,0,750,2,1.0,0.3686131386861313
28,2020,529,0,7,64,4,604,4,0.8758278145695364,0.0
28,2021,135,461,0,0,0,596,2,1.0,-0.013245033112582738
28,2022,1058,0,14,128,8,1208,4,0.8758278145695364,1.0268456375838926
28,2023,270,922,0,0,0,1192,2,1.0,-0.013245033112582738
29,2020,182,0,6,36,3,227,4,0.801762114537445,0.0
29,2021,52,463,0,0,0,515,2,1.0,1.2687224669603525
29,2022,364,0,12,72,6,454,4,0.801762114537445,-0.11844660194174761
29,2023,104,926,0,0,0,1030,2,1.0,1.2687224669603525
30,2020,441,0,5,1,2,449,4,0.9821826280623608,0.0
30,2021,92,513,0,0,0,605,2,1.0,0.3474387527839644
30,2022,882,0,10,2,4,898,4,0.9821826280623608,0.48429752066115705
30,2023,184,1026,0,0,0,1210,2,1.0,0.3474387527839644
31,2020,744,0,5,28,2,779,4,0.9550706033376123,0.0
31,2021,182,634,0,0,0,816,2,1.0,0.047496790757381335
31,2022,1488,0,10,56,4,1558,4,0.9550706033376123,0.9093137254901962
31,2023,364,1268,0,0,0,1632,2,1.0,0.047496790757381335
32,2020,546,0,9,164,52,771,4,0.708171206225681,0.0
32,2021,102,610,0,0,0,712,2,1.0,-0.0765239948119325
32,2022,1092,0,18,328,104,1542,4,0.708171206225681,1.1657303370786516
32,2023,204,1220,0,0,0,1424,2,1.0,-0.0765239948119325
33,2020,256,0,10,1,3,270,4,0.9481481481481482,0.0
33,2021,66,165,0,0,0,231,2,1.0,-0.1444444444444445
33,2022,512,0,20,2,6,540,4,0.9481481481481482,1.3376623376623376
33,2023,132,330,0,0,0,462,2,1.0,-0.1444444444444445
34,2020,263,0,2,86,4,355,4,0.7408450704225352,0.0
34,2021,64,270,0,0,0,334,2,1.0,-0.05915492957746482
34,2022,526,0,4,172,8,710,4,0.7408450704225352,1.125748502994012
34,2023,128,540,0,0,0,668,2,1.0,-0.05915492957746482
35,2020,213,0,0,1,0,214,2,0.9953271028037384,0.0
35,2021,62,195,0,0,0,257,2,1.0,0.2009345794392523
35,2022,426,0,0,2,0,428,2,0.9953271028037384,0.6653696498054475
35,2023,124,390,0,0,0,514,2,1.0,0.2009345794392523
36,2020,193,0,9,4,3,209,4,0.9234449760765551,0.0
36,2021,57,347,0,0,0,404,2,1.0,0.9330143540669857
36,2022,386,0,18,8,6,418,4,0.9234449760765551,0.034653465346534684
36,2023,114,694,0,0,0,808,2,1.0,0.9330143540669857
37,2020,140,0,2,9,1,152,4,0.9210526315789473,0.0
37,2021,46,187,0,0,0,233,2,1.0,0.5328947368421053
37,2022,280,0,4,18,2,304,4,0.9210526315789473,0.3047210300429184
37,2023,92,374,0,0,0,466,2,1.0,0.5328947368421053
