district,year,crime_against_children,crime_against_women,cyber_crime,other_crime,violent_crime,total_crime,variety,wc_ratio,trend
31,2023,364,1268,0,0,0,1632,2,1.0,-0.28074
32,2020,546,544,9,164,52,1315,4,0.8288973384030418,0.0
32,2021,102,610,0,0,0,712,2,1.0,-0.458555
32,2022,1092,782,18,328,104,2324,4,0.806368330464716,2.264045
32,2023,204,1220,0,0,0,1424,2,1.0,-0.387263
33,2020,256,129,10,1,3,399,4,0.9649122807017544,0.0
33,2021,66,165,0,0,0,231,2,1.0,-0.421053
33,2022,512,203,20,2,6,743,4,0.9623149394347241,2.21645
33,2023,132,330,0,0,0,462,2,1.0,-0.378197
34,2020,263,226,2,86,4,581,4,0.8416523235800344,0.0
34,2021,64,270,0,0,0,334,2,1.0,-0.425129
34,2022,526,342,4,172,8,1052,4,0.8250950570342205,2.149701
34,2023,128,540,0,0,0,668,2,1.0,-0.365019
35,2020,213,154,0,1,0,368,2,0.9972826086956522,0.0
35,2021,62,195,0,0,0,257,2,1.0,-0.30163
35,2022,426,264,0,2,0,692,2,0.9971098265895953,1.692607
35,2023,124,390,0,0,0,514,2,1.0,-0.257225
36,2020,193,298,9,4,3,507,4,0.9684418145956607,0.0
36,2021,57,347,0,0,0,404,2,1.0,-0.203156
36,2022,386,419,18,8,6,837,4,0.961768219832736,1.071782
36,2023,114,694,0,0,0,808,2,1.0,-0.034648
37,2020,140,153,2,9,1,305,4,0.9606557377049181,0.0
37,2021,46,187,0,0,0,233,2,1.0,-0.236066
37,2022,280,244,4,18,2,548,4,0.9562043795620438,1.351931
37,2023,92,374,0,0,0,466,2,1.0,-0.149635
