district,year,crime_type,count
chikkaballapura,2021,rape (sec. 376 ipc),9
chikkaballapura,2021,total crime against women (ipc+sll),410
chikkamagaluru,2020,attempt to commit murder (sec.307 ipc),2
chikkamagaluru,2020,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",1
chikkamagaluru,2020,juveniles justice (care and protection of children) act,1
chikkamagaluru,2020,kidnapping and abduction of children,76
chikkamagaluru,2020,murder (sec.302 ipc),1
chikkamagaluru,2020,other ipc crimes,6
chikkamagaluru,2020,prohibition of child marriage act,6
chikkamagaluru,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",244
chikkamagaluru,2020,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",4
chikkamagaluru,2020,total crimes against children (ipc+ sll),219
chikkamagaluru,2020,total ipc crimes against children,90
chikkamagaluru,2020,total sll crimes against children,129
chikkamagaluru,2021,abetment to suicide of women (sec. 305/306 ipc),6
chikkamagaluru,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),223
chikkamagaluru,2021,cruelty by husband or his relatives (sec. 498 a ipc),43
chikkamagaluru,2021,dowry deaths (sec. 304b ipc),4
chikkamagaluru,2021,"dowry prohibition act, 1961",40
chikkamagaluru,2021,immoral traffic (prevention) act 1956 (women victims cases only),2
chikkamagaluru,2021,kidnapping & abduction of women,1
chikkamagaluru,2021,murder with rape/gang rape,1
chikkamagaluru,2021,protection of children from sexual violence act (girl child victims only),122
chikkamagaluru,2021,rape (sec. 376 ipc),6
chikkamagaluru,2021,total crime against women (ipc+sll),448
chitradurga,2020,child labour (prohibition & regulation) act,9
chitradurga,2020,exposure and abandonment (sec.317 ipc),2
chitradurga,2020,juveniles justice (care and protection of children) act,1
chitradurga,2020,kidnapping and abduction of children,246
chitradurga,2020,murder (sec.302 ipc),2
chitradurga,2020,other ipc crimes,15
chitradurga,2020,prohibition of child marriage act,2
chitradurga,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",192
chitradurga,2020,total crimes against children (ipc+ sll),210
chitradurga,2020,total ipc crimes against children,102
chitradurga,2020,total sll crimes against children,108
chitradurga,2021,abetment to suicide of women (sec. 305/306 ipc),13
chitradurga,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),383
chitradurga,2021,cruelty by husband or his relatives (sec. 498 a ipc),72
chitradurga,2021,cyber crimes/information technology act (women centric crimes only),1
chitradurga,2021,dowry deaths (sec. 304b ipc),7
chitradurga,2021,"dowry prohibition act, 1961",47
chitradurga,2021,immoral traffic (prevention) act 1956 (women victims cases only),1
chitradurga,2021,insult to the modesty of women (sec. 509 ipc),4
chitradurga,2021,kidnapping & abduction of women,5
chitradurga,2021,protection of children from sexual violence act (girl child victims only),96
chitradurga,2021,rape (sec. 376 ipc),12
chitradurga,2021,total crime against women (ipc+sll),641
dakshina kannada,2020,abetment of suicide of child (sec.305 ipc),1
dakshina kannada,2020,cyber crimes/information technology act,12
dakshina kannada,2020,juveniles justice (care and protection of children) act,5
dakshina kannada,2020,kidnapping and abduction of children,34
dakshina kannada,2020,murder (sec.302 ipc),1
dakshina kannada,2020,other ipc crimes,63
dakshina kannada,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",190
dakshina kannada,2020,total crimes against children (ipc+ sll),162
dakshina kannada,2020,total ipc crimes against children,82
dakshina kannada,2020,total sll crimes against children,80
dakshina kannada,2021,abetment to suicide of women (sec. 305/306 ipc),2
dakshina kannada,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),57
dakshina kannada,2021,cruelty by husband or his relatives (sec. 498 a ipc),31
dakshina kannada,2021,cyber crimes/information technology act (women centric crimes only),6
dakshina kannada,2021,"dowry prohibition act, 1961",4
dakshina kannada,2021,insult to the modesty of women (sec. 509 ipc),2
dakshina kannada,2021,kidnapping & abduction of women,12
dakshina kannada,2021,protection of children from sexual violence act (girl child victims only),65
dakshina kannada,2021,rape (sec. 376 ipc),10
dakshina kannada,2021,total crime against women (ipc+sll),189
davanagere,2020,child labour (prohibition & regulation) act,4
davanagere,2020,cyber crimes/information technology act,3
davanagere,2020,exposure and abandonment (sec.317 ipc),5
davanagere,2020,human trafficking (secs. 370 & 370a ipc) (children only),3
davanagere,2020,kidnapping and abduction of children,354
davanagere,2020,murder (sec.302 ipc),1
davanagere,2020,other ipc crimes,3
davanagere,2020,other sll crimes,1
davanagere,2020,prohibition of child marriage act,6
davanagere,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",188
davanagere,2020,total crimes against children (ipc+ sll),239
davanagere,2020,total ipc crimes against children,131
davanagere,2020,total sll crimes against children,108
davanagere,2021,abetment to suicide of women (sec. 305/306 ipc),9
davanagere,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),218
davanagere,2021,attempt to commit rape (sec. 376/511 ipc),1
davanagere,2021,cruelty by husband or his relatives (sec. 498 a ipc),59
davanagere,2021,cyber crimes/information technology act (women centric crimes only),3
davanagere,2021,dowry deaths (sec. 304b ipc),7
davanagere,2021,"dowry prohibition act, 1961",93
davanagere,2021,immoral traffic (prevention) act 1956 (women victims cases only),1
davanagere,2021,insult to the modesty of women (sec. 509 ipc),1
davanagere,2021,kidnapping & abduction of women,69
davanagere,2021,murder with rape/gang rape,2
davanagere,2021,protection of children from sexual violence act (girl child victims only),94
davanagere,2021,rape (sec. 376 ipc),17
davanagere,2021,total crime against women (ipc+sll),574
dharwad,2020,cyber crimes/information technology act,1
dharwad,2020,exposure and abandonment (sec.317 ipc),4
dharwad,2020,kidnapping and abduction of children,18
dharwad,2020,other ipc crimes,16
dharwad,2020,other sll crimes,1
dharwad,2020,prohibition of child marriage act,6
dharwad,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",66
dharwad,2020,total crimes against children (ipc+ sll),79
dharwad,2020,total ipc crimes against children,38
dharwad,2020,total sll crimes against children,41
dharwad,2021,abetment to suicide of women (sec. 305/306 ipc),1
dharwad,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),47
dharwad,2021,attempt to commit rape (sec. 376/511 ipc),1
dharwad,2021,cruelty by husband or his relatives (sec. 498 a ipc),42
dharwad,2021,cyber crimes/information technology act (women centric crimes only),1
dharwad,2021,"dowry prohibition act, 1961",5
dharwad,2021,protection of children from sexual violence act (girl child victims only),33
dharwad,2021,rape (sec. 376 ipc),3
dharwad,2021,total crime against women (ipc+sll),133
gadag,2020,cyber crimes/information technology act,3
gadag,2020,exposure and abandonment (sec.317 ipc),2
gadag,2020,kidnapping and abduction of children,42
gadag,2020,murder (sec.302 ipc),1
gadag,2020,other ipc crimes,5
gadag,2020,prohibition of child marriage act,5
gadag,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",101
gadag,2020,total crimes against children (ipc+ sll),72
gadag,2020,total ipc crimes against children,29
gadag,2020,total sll crimes against children,43
gadag,2021,abetment to suicide of women (sec. 305/306 ipc),4
gadag,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),56
gadag,2021,cruelty by husband or his relatives (sec. 498 a ipc),23
gadag,2021,cyber crimes/information technology act (women centric crimes only),3
gadag,2021,dowry deaths (sec. 304b ipc),2
gadag,2021,"dowry prohibition act, 1961",5
gadag,2021,insult to the modesty of women (sec. 509 ipc),1
gadag,2021,kidnapping & abduction of women,1
gadag,2021,murder with rape/gang rape,1
gadag,2021,protection of children from sexual violence act (girl child victims only),34
gadag,2021,rape (sec. 376 ipc),7
gadag,2021,total crime against women (ipc+sll),137
hassan,2020,cyber crimes/information technology act,4
hassan,2020,human trafficking (secs. 370 & 370a ipc) (children only),1
hassan,2020,juveniles justice (care and protection of children) act,1
hassan,2020,kidnapping and abduction of children,136
hassan,2020,other ipc crimes,15
hassan,2020,other sll crimes,3
hassan,2020,prohibition of child marriage act,13
hassan,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",304
hassan,2020,total crimes against children (ipc+ sll),257
hassan,2020,total ipc crimes against children,84
hassan,2020,total sll crimes against children,173
hassan,2021,abetment to suicide of women (sec. 305/306 ipc),9
hassan,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),273
hassan,2021,cruelty by husband or his relatives (sec. 498 a ipc),50
hassan,2021,cyber crimes/information technology act (women centric crimes only),4
hassan,2021,dowry deaths (sec. 304b ipc),5
hassan,2021,"dowry prohibition act, 1961",78
hassan,2021,kidnapping & abduction of women,66
hassan,2021,protection of children from sexual violence act (girl child victims only),152
hassan,2021,rape (sec. 376 ipc),13
hassan,2021,total crime against women (ipc+sll),650
haveri,2020,exposure and abandonment (sec.317 ipc),1
haveri,2020,juveniles justice (care and protection of children) act,2
haveri,2020,kidnapping and abduction of children,63
haveri,2020,other ipc crimes,1
haveri,2020,prohibition of child marriage act,1
haveri,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",156
haveri,2020,total crimes against children (ipc+ sll),146
haveri,2020,total ipc crimes against children,65
haveri,2020,total sll crimes against children,81
haveri,2021,abetment to suicide of women (sec. 305/306 ipc),6
haveri,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),112
haveri,2021,cruelty by husband or his relatives (sec. 498 a ipc),36
haveri,2021,dowry deaths (sec. 304b ipc),4
haveri,2021,"dowry prohibition act, 1961",31
haveri,2021,kidnapping & abduction of women,58
haveri,2021,protection of children from sexual violence act (girl child victims only),78
haveri,2021,rape (sec. 376 ipc),13
haveri,2021,total crime against women (ipc+sll),338
hubballi dharwad city,2020,child labour (prohibition & regulation) act,1
hubballi dharwad city,2020,cyber crimes/information technology act,10
hubballi dharwad city,2020,exposure and abandonment (sec.317 ipc),4
hubballi dharwad city,2020,kidnapping and abduction of children,60
hubballi dharwad city,2020,prohibition of child marriage act,2
hubballi dharwad city,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",78
hubballi dharwad city,2020,total crimes against children (ipc+ sll),86
hubballi dharwad city,2020,total ipc crimes against children,34
hubballi dharwad city,2020,total sll crimes against children,52
hubballi dharwad city,2021,abetment to suicide of women (sec. 305/306 ipc),4
hubballi dharwad city,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),55
hubballi dharwad city,2021,cruelty by husband or his relatives (sec. 498 a ipc),87
hubballi dharwad city,2021,cyber crimes/information technology act (women centric crimes only),9
hubballi dharwad city,2021,dowry deaths (sec. 304b ipc),2
hubballi dharwad city,2021,immoral traffic (prevention) act 1956 (women victims cases only),6
hubballi dharwad city,2021,kidnapping & abduction of women,5
hubballi dharwad city,2021,protection of children from sexual violence act (girl child victims only),39
hubballi dharwad city,2021,rape (sec. 376 ipc),10
hubballi dharwad city,2021,total crime against women (ipc+sll),217
k.g.f.,2020,child labour (prohibition & regulation) act,2
k.g.f.,2020,cyber crimes/information technology act,8
k.g.f.,2020,foeticide (sec. 315 & 316 ipc),1
k.g.f.,2020,kidnapping and abduction of children,17
k.g.f.,2020,murder (sec.302 ipc),1
k.g.f.,2020,prohibition of child marriage act,1
k.g.f.,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",60
k.g.f.,2020,total crimes against children (ipc+ sll),56
k.g.f.,2020,total ipc crimes against children,19
k.g.f.,2020,total sll crimes against children,37
k.g.f.,2021,abetment to suicide of women (sec. 305/306 ipc),3
k.g.f.,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),39
k.g.f.,2021,cruelty by husband or his relatives (sec. 498 a ipc),13
k.g.f.,2021,cyber crimes/information technology act (women centric crimes only),4
k.g.f.,2021,dowry deaths (sec. 304b ipc),1
k.g.f.,2021,"dowry prohibition act, 1961",17
k.g.f.,2021,kidnapping & abduction of women,8
k.g.f.,2021,protection of children from sexual violence act (girl child victims only),30
k.g.f.,2021,rape (sec. 376 ipc),5
k.g.f.,2021,total crime against women (ipc+sll),120
k.railways,2020,child labour (prohibition & regulation) act,1
k.railways,2020,exposure and abandonment (sec.317 ipc),2
k.railways,2020,kidnapping and abduction of children,7
k.railways,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",2
k.railways,2020,total crimes against children (ipc+ sll),12
k.railways,2020,total ipc crimes against children,9
k.railways,2020,total sll crimes against children,3
k.railways,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),3
k.railways,2021,cruelty by husband or his relatives (sec. 498 a ipc),3
k.railways,2021,insult to the modesty of women (sec. 509 ipc),1
k.railways,2021,protection of children from sexual violence act (girl child victims only),2
k.railways,2021,total crime against women (ipc+sll),9
kalaburgi,2020,abetment of suicide of child (sec.305 ipc),2
kalaburgi,2020,assault on women with intent to outrage her modesty (sec. 354 ipc),1
kalaburgi,2020,attempt to commit murder (sec.307 ipc),1
kalaburgi,2020,child labour (prohibition & regulation) act,2
kalaburgi,2020,cyber crimes/information technology act,6
kalaburgi,2020,exposure and abandonment (sec.317 ipc),3
kalaburgi,2020,juveniles justice (care and protection of children) act,1
kalaburgi,2020,kidnapping and abduction of children,97
kalaburgi,2020,murder (sec.302 ipc),10
kalaburgi,2020,other ipc crimes,21
kalaburgi,2020,prohibition of child marriage act,4
kalaburgi,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",106
kalaburgi,2020,total crimes against children (ipc+ sll),134
kalaburgi,2020,total ipc crimes against children,66
kalaburgi,2020,total sll crimes against children,68
kalaburgi,2021,abetment to suicide of women (sec. 305/306 ipc),10
kalaburgi,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),117
kalaburgi,2021,cruelty by husband or his relatives (sec. 498 a ipc),101
kalaburgi,2021,cyber crimes/information technology act (women centric crimes only),1
kalaburgi,2021,dowry deaths (sec. 304b ipc),3
kalaburgi,2021,"dowry prohibition act, 1961",3
kalaburgi,2021,immoral traffic (prevention) act 1956 (women victims cases only),1
kalaburgi,2021,kidnapping & abduction of women,29
kalaburgi,2021,miscarriage (sec. 313 & 314 ipc),1
kalaburgi,2021,murder with rape/gang rape,1
kalaburgi,2021,protection of children from sexual violence act (girl child victims only),55
kalaburgi,2021,rape (sec. 376 ipc),12
kalaburgi,2021,total crime against women (ipc+sll),334
kalaburgi city,2020,cyber crimes/information technology act,4
kalaburgi city,2020,exposure and abandonment (sec.317 ipc),6
kalaburgi city,2020,kidnapping and abduction of children,133
kalaburgi city,2020,murder (sec.302 ipc),3
kalaburgi city,2020,other ipc crimes,8
kalaburgi city,2020,prohibition of child marriage act,4
kalaburgi city,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",36
kalaburgi city,2020,total crimes against children (ipc+ sll),87
kalaburgi city,2020,total ipc crimes against children,61
kalaburgi city,2020,total sll crimes against children,26
kalaburgi city,2021,abetment to suicide of women (sec. 305/306 ipc),4
kalaburgi city,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),41
kalaburgi city,2021,attempt to commit rape (sec. 376/511 ipc),1
kalaburgi city,2021,cruelty by husband or his relatives (sec. 498 a ipc),53
kalaburgi city,2021,dowry deaths (sec. 304b ipc),3
kalaburgi city,2021,"dowry prohibition act, 1961",50
kalaburgi city,2021,immoral traffic (prevention) act 1956 (women victims cases only),3
kalaburgi city,2021,kidnapping & abduction of women,1
kalaburgi city,2021,miscarriage (sec. 313 & 314 ipc),5
kalaburgi city,2021,murder with rape/gang rape,1
kalaburgi city,2021,protection of children from sexual violence act (girl child victims only),17
kalaburgi city,2021,rape (sec. 376 ipc),7
kalaburgi city,2021,total crime against women (ipc+sll),186
kodagu,2020,attempt to commit murder (sec.307 ipc),1
kodagu,2020,cyber crimes/information technology act,1
kodagu,2020,exposure and abandonment (sec.317 ipc),2
kodagu,2020,kidnapping and abduction of children,66
kodagu,2020,other ipc crimes,18
kodagu,2020,prohibition of child marriage act,2
kodagu,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",132
