district,crime_type,year,time_of_occurrence,date_of_occurrence,police_deployed
Bangalore,drug offense,2020,21-02-2020 01:04,2020-02-20 23:00:00,5
Bangalore,assault,2020,21-02-2020 14:07,2020-02-21 13:00:00,10
Bangalore,illegal possession,2020,22-02-2020 11:46,2020-02-22 03:00:00,3
Bangalore,cybercrime,2020,23-02-2020 05:48,2020-02-22 11:00:00,1
Bangalore,robbery,2020,23-02-2020 01:50,2020-02-22 19:00:00,19
Bangalore,cybercrime,2020,24-02-2020 23:06,2020-02-24 21:00:00,16
Bangalore,arson,2020,25-02-2020 03:18,2020-02-24 22:00:00,18
Bangalore,assault,2020,25-02-2020 09:52,2020-02-25 01:00:00,8
Bangalore,domestic violence,2020,26-02-2020 02:42,2020-02-25 09:00:00,3
Bangalore,cybercrime,2020,26-02-2020 13:00,2020-02-25 16:00:00,12
Bangalore,assault,2020,27-02-2020 03:47,2020-02-26 14:00:00,3
Bangalore,public intoxication,2020,27-02-2020 18:31,2020-02-26 20:00:00,9
Bangalore,sexual assault,2020,27-02-2020 20:48,2020-02-26 23:00:00,5
Bangalore,arson,2020,28-02-2020 03:41,2020-02-27 08:00:00,4
Bangalore,extortion,2020,29-02-2020 02:18,2020-02-28 03:00:00,5
Bangalore,assault,2020,28-02-2020 22:17,2020-02-28 06:00:00,13
Bangalore,shoplifting,2020,28-02-2020 10:23,2020-02-28 08:00:00,12
Bangalore,firearm offense,2020,29-02-2020 05:17,2020-02-28 23:00:00,15
Bangalore,shoplifting,2020,01-03-2020 03:28,2020-02-29 10:00:00,9
Bangalore,burglary,2020,01-03-2020 07:09,2020-02-29 21:00:00,8
Bangalore,public intoxication,2020,01-03-2020 20:32,2020-02-29 22:00:00,12
Bangalore,extortion,2020,01-03-2020 15:29,2020-02-29 23:00:00,16
Bangalore,cybercrime,2020,02-03-2020 14:38,2020-03-02 00:00:00,10
Bangalore,assault,2020,04-03-2020 01:12,2020-03-03 02:00:00,16
Bangalore,public intoxication,2020,03-03-2020 20:51,2020-03-03 03:00:00,6
Bangalore,domestic violence,2020,04-03-2020 08:32,2020-03-03 11:00:00,18
Bangalore,domestic violence,2020,05-03-2020 08:57,2020-03-05 08:00:00,13
Bangalore,arson,2020,06-03-2020 07:26,2020-03-05 16:00:00,19
Bangalore,assault,2020,05-03-2020 22:31,2020-03-05 19:00:00,4
Bangalore,sexual assault,2020,06-03-2020 23:18,2020-03-06 07:00:00,12
Bangalore,kidnapping,2020,07-03-2020 05:27,2020-03-06 14:00:00,3
Bangalore,homicide,2020,07-03-2020 06:01,2020-03-06 21:00:00,14
Bangalore,fraud,2020,08-03-2020 03:43,2020-03-07 07:00:00,5
Bangalore,public intoxication,2020,08-03-2020 05:33,2020-03-07 09:00:00,5
Bangalore,traffic violation,2020,08-03-2020 01:30,2020-03-07 20:00:00,7
Bangalore,homicide,2020,08-03-2020 04:14,2020-03-08 01:00:00,19
Bangalore,vehicle - stolen,2020,08-03-2020 19:12,2020-03-08 04:00:00,17
Bangalore,kidnapping,2020,09-03-2020 07:53,2020-03-08 20:00:00,1
Bangalore,kidnapping,2020,09-03-2020 14:59,2020-03-09 11:00:00,12
Bangalore,burglary,2020,10-03-2020 06:01,2020-03-09 13:00:00,7
Bangalore,burglary,2020,10-03-2020 03:13,2020-03-09 14:00:00,9
Bangalore,domestic violence,2020,10-03-2020 13:20,2020-03-09 17:00:00,8
Bangalore,identity theft,2020,10-03-2020 08:26,2020-03-10 04:00:00,11
Bangalore,burglary,2020,10-03-2020 15:12,2020-03-10 10:00:00,17
Bangalore,firearm offense,2020,11-03-2020 05:00,2020-03-10 22:00:00,4
Bangalore,assault,2020,12-03-2020 09:23,2020-03-11 18:00:00,1
Bangalore,fraud,2020,12-03-2020 12:08,2020-03-11 22:00:00,5
Bangalore,public intoxication,2020,12-03-2020 05:50,2020-03-12 00:00:00,8
Bangalore,homicide,2020,12-03-2020 05:57,2020-03-12 04:00:00,7
Bangalore,identity theft,2020,12-03-2020 19:42,2020-03-12 13:00:00,8
Bangalore,homicide,2020,13-03-2020 07:44,2020-03-12 14:00:00,18
Bangalore,shoplifting,2020,13-03-2020 06:07,2020-03-12 23:00:00,16
Bangalore,drug offense,2020,13-03-2020 21:42,2020-03-13 09:00:00,15
Bangalore,burglary,2020,13-03-2020 18:13,2020-03-13 13:00:00,17
Bangalore,homicide,2020,14-03-2020 15:55,2020-03-14 04:00:00,9
Bangalore,kidnapping,2020,15-03-2020 08:53,2020-03-15 04:00:00,7
Bangalore,sexual assault,2020,15-03-2020 11:55,2020-03-15 05:00:00,2
Bangalore,arson,2020,15-03-2020 16:09,2020-03-15 13:00:00,7
Bangalore,shoplifting,2020,16-03-2020 04:17,2020-03-16 00:00:00,18
Bangalore,extortion,2020,16-03-2020 20:55,2020-03-16 03:00:00,5
Bangalore,counterfeiting,2020,16-03-2020 16:11,2020-03-16 10:00:00,17
Bangalore,vehicle - stolen,2020,17-03-2020 08:39,2020-03-17 07:00:00,4
Bangalore,firearm offense,2020,18-03-2020 06:06,2020-03-17 16:00:00,12
Bangalore,extortion,2020,18-03-2020 18:12,2020-03-17 22:00:00,19
Bangalore,illegal possession,2020,18-03-2020 20:12,2020-03-18 01:00:00,5
Bangalore,homicide,2020,19-03-2020 22:51,2020-03-19 04:00:00,1
Bangalore,identity theft,2020,22-03-2020 05:29,2020-03-21 18:00:00,11
Bangalore,homicide,2020,22-03-2020 05:35,2020-03-21 19:00:00,15
Bangalore,traffic violation,2020,22-03-2020 01:46,2020-03-21 22:00:00,1
Bangalore,fraud,2020,23-03-2020 00:05,2020-03-22 01:00:00,19
Bangalore,counterfeiting,2020,23-03-2020 09:57,2020-03-22 10:00:00,11
Bangalore,arson,2020,23-03-2020 14:29,2020-03-22 18:00:00,5
Bangalore,extortion,2020,23-03-2020 23:28,2020-03-23 07:00:00,17
Bangalore,vehicle - stolen,2020,24-03-2020 03:41,2020-03-23 21:00:00,17
Bangalore,vandalism,2020,25-03-2020 06:29,2020-03-24 07:00:00,13
Bangalore,assault,2020,25-03-2020 12:06,2020-03-25 03:00:00,1
Bangalore,extortion,2020,25-03-2020 20:09,2020-03-25 11:00:00,2
Bangalore,drug offense,2020,26-03-2020 03:29,2020-03-25 12:00:00,14
Bangalore,drug offense,2020,26-03-2020 19:47,2020-03-26 06:00:00,15
Bangalore,drug offense,2020,26-03-2020 18:01,2020-03-26 13:00:00,11
Bangalore,cybercrime,2020,27-03-2020 11:42,2020-03-27 08:00:00,1
Bangalore,fraud,2020,28-03-2020 15:36,2020-03-27 19:00:00,7
Bangalore,extortion,2020,28-03-2020 06:45,2020-03-27 22:00:00,16
Bangalore,public intoxication,2020,28-03-2020 20:55,2020-03-28 12:00:00,18
Bangalore,domestic violence,2020,28-03-2020 15:44,2020-03-28 14:00:00,5
Bangalore,shoplifting,2020,28-03-2020 23:02,2020-03-28 19:00:00,19
Bangalore,domestic violence,2020,29-03-2020 17:41,2020-03-29 03:00:00,11
Bangalore,assault,2020,31-03-2020 20:21,2020-03-31 01:00:00,16
Bangalore,vandalism,2020,01-04-2020 18:31,2020-03-31 19:00:00,15
Bangalore,vandalism,2020,01-04-2020 20:44,2020-03-31 21:00:00,10
Bangalore,kidnapping,2020,01-04-2020 14:03,2020-04-01 04:00:00,17
Bangalore,drug offense,2020,02-04-2020 05:14,2020-04-01 21:00:00,11
Bangalore,kidnapping,2020,03-04-2020 01:32,2020-04-02 03:00:00,4
Bangalore,shoplifting,2020,02-04-2020 16:47,2020-04-02 05:00:00,8
Bangalore,identity theft,2020,03-04-2020 04:42,2020-04-02 20:00:00,18
Bangalore,identity theft,2020,03-04-2020 19:54,2020-04-03 15:00:00,2
Bangalore,extortion,2020,04-04-2020 05:44,2020-04-03 16:00:00,14
Bangalore,cybercrime,2020,05-04-2020 03:41,2020-04-05 02:00:00,10
Bangalore,public intoxication,2020,06-04-2020 16:05,2020-04-05 20:00:00,16
Bangalore,extortion,2020,06-04-2020 07:05,2020-04-06 01:00:00,8
Bangalore,sexual assault,2020,07-04-2020 07:55,2020-04-06 21:00:00,13
Bangalore,fraud,2020,07-04-2020 10:22,2020-04-07 04:00:00,1
Bangalore,vandalism,2020,08-04-2020 10:56,2020-04-07 12:00:00,8
Bangalore,cybercrime,2020,07-04-2020 23:58,2020-04-07 23:00:00,8
Bangalore,counterfeiting,2020,08-04-2020 10:52,2020-04-08 00:00:00,3
Bangalore,kidnapping,2020,08-04-2020 21:13,2020-04-08 05:00:00,16
Bangalore,firearm offense,2020,08-04-2020 21:36,2020-04-08 06:00:00,19
Bangalore,robbery,2020,09-04-2020 19:58,2020-04-09 06:00:00,11
Bangalore,kidnapping,2020,09-04-2020 22:07,2020-04-09 10:00:00,13
Bangalore,shoplifting,2020,10-04-2020 05:54,2020-04-09 14:00:00,2
Bangalore,assault,2020,10-04-2020 09:44,2020-04-10 05:00:00,19
Bangalore,arson,2020,11-04-2020 00:39,2020-04-10 11:00:00,9
Bangalore,cybercrime,2020,11-04-2020 06:41,2020-04-11 05:00:00,18
Bangalore,firearm offense,2020,12-04-2020 07:05,2020-04-11 15:00:00,10
Bangalore,illegal possession,2020,12-04-2020 12:04,2020-04-11 20:00:00,3
Bangalore,firearm offense,2020,12-04-2020 06:28,2020-04-11 21:00:00,12
Bangalore,public intoxication,2020,12-04-2020 22:02,2020-04-12 05:00:00,18
Bangalore,shoplifting,2020,13-04-2020 06:48,2020-04-12 12:00:00,8
Bangalore,burglary,2020,14-04-2020 00:44,2020-04-13 05:00:00,9
Bangalore,domestic violence,2020,13-04-2020 17:32,2020-04-13 06:00:00,6
Bangalore,domestic violence,2020,13-04-2020 23:14,2020-04-13 12:00:00,15
Bangalore,vandalism,2020,15-04-2020 16:52,2020-04-15 12:00:00,16
Bangalore,assault,2020,17-04-2020 00:48,2020-04-16 14:00:00,5
Bangalore,drug offense,2020,17-04-2020 08:03,2020-04-16 17:00:00,7
Bangalore,fraud,2020,17-04-2020 11:25,2020-04-16 20:00:00,16
Bangalore,assault,2020,17-04-2020 16:04,2020-04-17 06:00:00,14
Bangalore,kidnapping,2020,17-04-2020 17:47,2020-04-17 13:00:00,5
Bangalore,traffic violation,2020,18-04-2020 18:56,2020-04-18 16:00:00,6
Bangalore,burglary,2020,18-04-2020 23:44,2020-04-18 18:00:00,3
Bangalore,domestic violence,2020,19-04-2020 13:26,2020-04-18 22:00:00,4
Bangalore,burglary,2020,19-04-2020 12:50,2020-04-19 09:00:00,17
Bangalore,vehicle - stolen,2020,22-04-2020 23:38,2020-04-22 03:00:00,1
Bangalore,firearm offense,2020,23-04-2020 14:57,2020-04-22 20:00:00,7
Bangalore,counterfeiting,2020,23-04-2020 05:37,2020-04-23 02:00:00,5
Bangalore,domestic violence,2020,23-04-2020 18:03,2020-04-23 11:00:00,2
Bangalore,kidnapping,2020,24-04-2020 21:25,2020-04-24 07:00:00,9
Bangalore,domestic violence,2020,25-04-2020 23:47,2020-04-25 09:00:00,1
Bangalore,domestic violence,2020,25-04-2020 12:31,2020-04-25 11:00:00,11
Bangalore,cybercrime,2020,27-04-2020 06:55,2020-04-27 02:00:00,1
Bangalore,vehicle - stolen,2020,28-04-2020 16:24,2020-04-27 17:00:00,7
Bangalore,counterfeiting,2020,28-04-2020 19:12,2020-04-28 00:00:00,4
Bangalore,drug offense,2020,30-04-2020 08:13,2020-04-29 21:00:00,2
Bangalore,vandalism,2020,30-04-2020 12:53,2020-04-29 23:00:00,19
Bangalore,shoplifting,2020,01-05-2020 00:42,2020-05-01 00:00:00,14
Bangalore,public intoxication,2020,01-05-2020 11:12,2020-05-01 09:00:00,15
Bangalore,kidnapping,2020,01-05-2020 23:26,2020-05-01 18:00:00,8
Bangalore,burglary,2020,03-05-2020 12:32,2020-05-02 13:00:00,3
Bangalore,burglary,2020,03-05-2020 13:43,2020-05-02 14:00:00,6
Bangalore,counterfeiting,2020,03-05-2020 20:03,2020-05-03 06:00:00,8
Bangalore,sexual assault,2020,05-05-2020 08:03,2020-05-05 03:00:00,10
Bangalore,cybercrime,2020,05-05-2020 11:00,2020-05-05 05:00:00,1
Bangalore,extortion,2020,06-05-2020 08:41,2020-05-05 10:00:00,10
Bangalore,firearm offense,2020,06-05-2020 05:50,2020-05-05 15:00:00,15
Bangalore,cybercrime,2020,06-05-2020 19:54,2020-05-06 09:00:00,19
Bangalore,vandalism,2020,07-05-2020 03:29,2020-05-06 19:00:00,13
Bangalore,homicide,2020,07-05-2020 23:29,2020-05-07 04:00:00,7
Bangalore,fraud,2020,07-05-2020 22:42,2020-05-07 21:00:00,14
Bangalore,vandalism,2020,09-05-2020 06:10,2020-05-08 22:00:00,10
Bangalore,identity theft,2020,09-05-2020 22:26,2020-05-09 10:00:00,1
Bangalore,kidnapping,2020,10-05-2020 06:13,2020-05-09 19:00:00,13
Bangalore,public intoxication,2020,10-05-2020 10:47,2020-05-10 04:00:00,14
Bangalore,sexual assault,2020,11-05-2020 02:41,2020-05-10 22:00:00,15
Bangalore,firearm offense,2020,11-05-2020 13:15,2020-05-11 04:00:00,15
Bangalore,vehicle - stolen,2020,11-05-2020 21:56,2020-05-11 12:00:00,11
Bangalore,illegal possession,2020,12-05-2020 00:25,2020-05-11 19:00:00,4
Bangalore,vehicle - stolen,2020,11-05-2020 21:09,2020-05-11 20:00:00,13
Bangalore,firearm offense,2020,12-05-2020 07:45,2020-05-11 23:00:00,18
Bangalore,vandalism,2020,12-05-2020 16:52,2020-05-12 09:00:00,14
Bangalore,shoplifting,2020,13-05-2020 07:57,2020-05-12 20:00:00,2
Bangalore,homicide,2020,13-05-2020 20:55,2020-05-12 21:00:00,14
Bangalore,extortion,2020,13-05-2020 15:38,2020-05-13 00:00:00,3
Bangalore,cybercrime,2020,14-05-2020 15:41,2020-05-14 03:00:00,11
Bangalore,firearm offense,2020,16-05-2020 06:34,2020-05-15 08:00:00,16
Bangalore,traffic violation,2020,16-05-2020 07:34,2020-05-15 18:00:00,12
Bangalore,sexual assault,2020,17-05-2020 10:32,2020-05-17 04:00:00,5
Bangalore,counterfeiting,2020,18-05-2020 00:53,2020-05-17 05:00:00,13
Bangalore,burglary,2020,17-05-2020 11:55,2020-05-17 10:00:00,10
Bangalore,kidnapping,2020,17-05-2020 23:11,2020-05-17 12:00:00,12
Bangalore,counterfeiting,2020,17-05-2020 15:38,2020-05-17 13:00:00,18
Bangalore,public intoxication,2020,18-05-2020 11:35,2020-05-18 07:00:00,13
Bangalore,burglary,2020,19-05-2020 03:03,2020-05-18 09:00:00,3
Bangalore,identity theft,2020,18-05-2020 23:58,2020-05-18 23:00:00,17
Bangalore,drug offense,2020,20-05-2020 13:09,2020-05-19 19:00:00,11
Bangalore,kidnapping,2020,22-05-2020 01:06,2020-05-21 08:00:00,5
Bangalore,shoplifting,2020,22-05-2020 09:47,2020-05-21 17:00:00,18
Bangalore,shoplifting,2020,22-05-2020 19:55,2020-05-21 22:00:00,14
Bangalore,drug offense,2020,22-05-2020 16:55,2020-05-22 00:00:00,6
Bangalore,drug offense,2020,22-05-2020 22:15,2020-05-22 15:00:00,14
Bangalore,homicide,2020,23-05-2020 04:55,2020-05-23 00:00:00,2
Bangalore,vehicle - stolen,2020,24-05-2020 04:43,2020-05-24 03:00:00,3
Bangalore,homicide,2020,24-05-2020 08:46,2020-05-24 05:00:00,2
Bangalore,sexual assault,2020,24-05-2020 23:19,2020-05-24 09:00:00,6
Bangalore,firearm offense,2020,25-05-2020 13:22,2020-05-24 14:00:00,9
Bangalore,vehicle - stolen,2020,25-05-2020 12:50,2020-05-24 20:00:00,14
Bangalore,robbery,2020,25-05-2020 02:20,2020-05-24 22:00:00,17
Bangalore,homicide,2020,25-05-2020 11:27,2020-05-25 07:00:00,1
Bangalore,public intoxication,2020,26-05-2020 00:11,2020-05-25 09:00:00,13
Bangalore,drug offense,2020,26-05-2020 16:55,2020-05-25 22:00:00,6
Bangalore,vehicle - stolen,2020,26-05-2020 14:37,2020-05-25 23:00:00,14
Bangalore,arson,2020,27-05-2020 01:59,2020-05-26 17:00:00,13
Bangalore,assault,2020,27-05-2020 14:00,2020-05-26 18:00:00,1
Bangalore,assault,2020,27-05-2020 08:35,2020-05-27 01:00:00,17
Bangalore,public intoxication,2020,29-05-2020 14:05,2020-05-29 01:00:00,13
Bangalore,counterfeiting,2020,29-05-2020 20:06,2020-05-29 08:00:00,13
Bangalore,traffic violation,2020,30-05-2020 05:43,2020-05-29 09:00:00,7
Bangalore,vandalism,2020,29-05-2020 19:10,2020-05-29 10:00:00,11
Bangalore,illegal possession,2020,30-05-2020 11:06,2020-05-29 13:00:00,12
Bangalore,extortion,2020,30-05-2020 15:48,2020-05-29 21:00:00,8
Bangalore,domestic violence,2020,30-05-2020 17:36,2020-05-30 05:00:00,4
Bangalore,counterfeiting,2020,30-05-2020 22:06,2020-05-30 11:00:00,15
Bangalore,vehicle - stolen,2020,01-06-2020 13:59,2020-06-01 00:00:00,5
Bangalore,domestic violence,2020,02-06-2020 16:39,2020-06-01 19:00:00,17
Bangalore,burglary,2020,02-06-2020 15:18,2020-06-02 13:00:00,6
Bangalore,traffic violation,2020,02-06-2020 20:04,2020-06-02 15:00:00,7
Bangalore,traffic violation,2020,02-06-2020 20:02,2020-06-02 19:00:00,12
Bangalore,assault,2020,03-06-2020 00:50,2020-06-02 22:00:00,5
Bangalore,vandalism,2020,04-06-2020 14:09,2020-06-04 14:00:00,12
Bangalore,extortion,2020,04-06-2020 17:51,2020-06-04 16:00:00,3
Bangalore,counterfeiting,2020,05-06-2020 15:22,2020-06-05 09:00:00,10
Bangalore,robbery,2020,06-06-2020 04:42,2020-06-05 17:00:00,12
Bangalore,vehicle - stolen,2020,06-06-2020 19:18,2020-06-05 21:00:00,19
Bangalore,extortion,2020,06-06-2020 01:07,2020-06-05 23:00:00,17
Bangalore,kidnapping,2020,08-06-2020 03:20,2020-06-07 07:00:00,17
Bangalore,assault,2020,07-06-2020 17:36,2020-06-07 08:00:00,13
Bangalore,burglary,2020,08-06-2020 04:59,2020-06-07 13:00:00,19
Bangalore,domestic violence,2020,08-06-2020 20:17,2020-06-08 12:00:00,10
Bangalore,traffic violation,2020,09-06-2020 13:48,2020-06-08 18:00:00,4
Bangalore,cybercrime,2020,10-06-2020 06:53,2020-06-09 08:00:00,19
Bangalore,assault,2020,10-06-2020 11:09,2020-06-09 15:00:00,18
Bangalore,shoplifting,2020,10-06-2020 21:32,2020-06-09 23:00:00,9
Bangalore,firearm offense,2020,10-06-2020 06:24,2020-06-10 06:00:00,11
Bangalore,robbery,2020,10-06-2020 10:12,2020-06-10 08:00:00,10
Bangalore,drug offense,2020,10-06-2020 12:48,2020-06-10 10:00:00,3
Bangalore,arson,2020,11-06-2020 05:51,2020-06-10 15:00:00,19
Bangalore,robbery,2020,11-06-2020 02:25,2020-06-10 16:00:00,11
Bangalore,vandalism,2020,11-06-2020 13:08,2020-06-10 22:00:00,5
Bangalore,drug offense,2020,11-06-2020 20:34,2020-06-11 01:00:00,16
Bangalore,firearm offense,2020,11-06-2020 11:43,2020-06-11 06:00:00,16
Bangalore,sexual assault,2020,12-06-2020 11:01,2020-06-12 06:00:00,5
Bangalore,homicide,2020,13-06-2020 05:28,2020-06-12 11:00:00,10
Bangalore,counterfeiting,2020,13-06-2020 11:23,2020-06-12 12:00:00,15
Bangalore,public intoxication,2020,13-06-2020 10:26,2020-06-12 18:00:00,1
Bangalore,homicide,2020,13-06-2020 04:56,2020-06-12 19:00:00,16
Bangalore,homicide,2020,13-06-2020 22:49,2020-06-13 08:00:00,14
Bangalore,robbery,2020,14-06-2020 14:28,2020-06-13 20:00:00,18
